"","year","State","type","spm","rspm","no2","so2"
"1",1987,"Bihar","Industrial",434.364,123.705,41.145,31.798
"2",1987,"Bihar","Residential",166.286,123.705,22.557,18.454
"3",1987,"Delhi","Industrial",590.688,196.64,19.238,19.096
"4",1987,"Delhi","Residential",465.25,196.64,17.625,8.875
"5",1987,"Goa","Industrial",111.584,61.213,11.3,5.216
"6",1987,"Gujarat","Industrial",203.321,98.245,31.393,23.4
"7",1987,"Gujarat","Residential",277,98.245,24.584,14.135
"8",1987,"Haryana","Industrial",392.816,149.861,18.382,45.55
"9",1987,"Haryana","Residential",312.971,149.861,19.871,42.2
"10",1987,"Himachal Pradesh","Residential",303.75,91.87,13.659,2.667
"11",1987,"Himachal Pradesh","Sensitive",151.5,91.87,13.659,2.667
"12",1987,"Karnataka","Industrial",98.421,79.372,10.727,17.196
"13",1987,"Karnataka","Residential",39.444,79.372,6.434,19.967
"14",1987,"Kerala","Industrial",84.42,50.636,2.9,5.322
"15",1987,"Maharashtra","Industrial",205.442,101.48,23.925,10.075
"16",1987,"Maharashtra","Residential",234.504,101.48,21.933,8.722
"17",1987,"Odisha","Industrial",218,83.62,16.9,5.276
"18",1987,"Odisha","Residential",167.61,83.62,16.9,5.276
"19",1987,"Punjab","Industrial",263,173.494,28.086,10.629
"20",1987,"Punjab","Residential",461.85,173.494,28.086,10.629
"21",1987,"Rajasthan","Industrial",174.318,142.017,66.615,15.558
"22",1987,"Rajasthan","Residential",152.316,142.017,40.059,12.42
"23",1987,"Rajasthan","Sensitive",111.1,142.017,53.683,12.083
"24",1987,"Tamil Nadu","Industrial",166.786,66.586,1.007,21.186
"25",1987,"Tamil Nadu","Residential",129.75,66.586,1.075,11.3
"26",1987,"Uttar Pradesh","Industrial",388.52,176.952,24.734,20.871
"27",1987,"Uttar Pradesh","Residential",359.909,176.952,10.007,8.668
"28",1987,"Uttar Pradesh","Sensitive",282.167,176.952,19.075,11.667
"29",1987,"West Bengal","Industrial",372.638,115.04,56.822,32.74
"30",1987,"West Bengal","Residential",103.909,115.04,17.836,10.552
"31",1988,"Bihar","Industrial Area",406.087,123.705,24.113,33.487
"32",1988,"Bihar","Residential, Rural and other Areas",277.75,123.705,17.775,21.308
"33",1988,"Delhi","Industrial Area",363.058,196.64,37.795,10.947
"34",1988,"Delhi","Residential, Rural and other Areas",293.623,196.64,38.927,9.276
"35",1988,"Goa","Industrial Area",163,61.213,15.717,5.017
"36",1988,"Gujarat","Industrial Area",214.8,98.245,32.046,25.234
"37",1988,"Gujarat","Residential, Rural and other Areas",298.655,98.245,32.309,13.997
"38",1988,"Haryana","Industrial Area",334.772,149.861,12.708,34.142
"39",1988,"Haryana","Residential, Rural and other Areas",306.272,149.861,11.033,32.283
"40",1988,"Himachal Pradesh","Residential, Rural and other Areas",344.5,91.87,15.447,1.911
"41",1988,"Himachal Pradesh","Sensitive",185.75,91.87,14.139,1.911
"42",1988,"Karnataka","Industrial Area",113.4,79.372,10.653,24.06
"43",1988,"Karnataka","Residential, Rural and other Areas",99.6,79.372,11.5,24.58
"44",1988,"Kerala","Industrial Area",95.941,50.636,14.584,5.076
"45",1988,"Madhya Pradesh","Industrial Area",140.4,114.718,7,12.18
"46",1988,"Madhya Pradesh","Residential, Rural and other Areas",296.875,114.718,9.713,15.4
"47",1988,"Maharashtra","Industrial Area",206.899,101.48,29.717,8.85
"48",1988,"Maharashtra","Residential, Rural and other Areas",211.649,101.48,35.483,5.492
"49",1988,"Odisha","Industrial Area",228.75,83.62,13.725,11.944
"50",1988,"Odisha","Residential, Rural and other Areas",114.273,83.62,12.045,7.387
"51",1988,"Puducherry","Industrial Area",87.2,43.418,32.2,21.72
"52",1988,"Puducherry","Residential, Rural and other Areas",111.615,43.418,13.746,5.554
"53",1988,"Punjab","Industrial Area",344.526,173.494,25.692,9.485
"54",1988,"Punjab","Residential, Rural and other Areas",445.273,173.494,28.486,11.983
"55",1988,"Rajasthan","Industrial Area",211.521,142.017,85.295,34.936
"56",1988,"Rajasthan","Residential, Rural and other Areas",229.203,142.017,60.245,24.427
"57",1988,"Rajasthan","Sensitive",162.067,142.017,59.327,28.682
"58",1988,"Tamil Nadu","Industrial Area",133.758,66.586,11.512,19.115
"59",1988,"Tamil Nadu","Residential, Rural and other Areas",118.067,66.586,11.97,7.757
"60",1988,"Uttar Pradesh","Industrial Area",404.606,176.952,25.299,28.271
"61",1988,"Uttar Pradesh","Residential, Rural and other Areas",439,176.952,10.254,15.878
"62",1988,"Uttar Pradesh","Sensitive",303.2,176.952,13.38,10.99
"63",1988,"West Bengal","Industrial Area",363.583,115.04,79.31,47.942
"64",2003,"Delhi","Industrial Area",373.479,153.669,39.632,10.144
"65",2003,"Delhi","Residential, Rural and other Areas",376.252,165.294,46.235,9.613
"66",2003,"Madhya Pradesh","Industrial Area",0,0,0,0
"67",2003,"Madhya Pradesh","Residential, Rural and other Areas",0,0,0,0
"68",2003,"Maharashtra","Industrial Area",190.824,101.48,18.929,5.906
"69",2003,"Maharashtra","Residential, Rural and other Areas",182.144,101.48,18.85,6.16
"70",2003,"Nagaland","Residential, Rural and other Areas",137.514,74.418,8.947,2.06
"71",2003,"Punjab","Industrial Area",244.919,241.78,33.487,11.103
"72",2003,"Punjab","Residential, Rural and other Areas",244.919,217.689,39.951,12.388
"73",2003,"Rajasthan","Industrial Area",311.698,142.017,14.917,10.604
"74",2003,"Rajasthan","Residential, Rural and other Areas",366.005,142.017,14.25,10.224
"75",2004,"Andhra Pradesh","Industrial Area",190.816,86.721,36.879,6.785
"76",2004,"Andhra Pradesh","Residential, Rural and other Areas",165.474,84.783,28.16,7.335
"77",2004,"Andhra Pradesh","Sensitive Area",116.857,79.4,31.1,9.871
"78",2004,"Assam","Residential, Rural and other Areas",153.355,197.101,14.31,3.189
"79",2004,"Bihar","Residential, Rural and other Areas",156.005,80.483,24.93,11.543
"80",2004,"Chandigarh","Industrial Area",272.08,133.8,37.053,7.212
"81",2004,"Chandigarh","Residential, Rural and other Areas",162.839,99.863,25.988,5.399
"82",2004,"Chhattisgarh","Residential, Rural and other Areas",185.894,152.913,20.559,13.151
"83",2004,"Delhi","Industrial Area",357.56,137.554,53.489,8.737
"84",2004,"Delhi","Residential, Rural and other Areas",341.254,136.646,53.489,8.737
"85",2004,"Goa","Industrial Area",156.093,53.452,10.261,2.963
"86",2004,"Goa","Residential, Rural and other Areas",130.544,58.952,11.48,2.44
"87",2004,"Gujarat","Industrial Area",225.01,155.664,28.992,19.604
"88",2004,"Gujarat","Residential, Rural and other Areas",155.056,126.316,26.649,17.282
