"","State","rspm","spm","no2","Score"
"1","Andhra Pradesh",73.939,192.369,21.868,0.292
"2","Assam",103.691,157.027,14.873,0.251
"3","Bihar",123.691,284.13,32.521,0.572
"4","Chandigarh",106.429,217.542,20.704,0.38
"5","Chhattisgarh",150.496,242.2,27.697,0.525
"6","Dadra & Nagar Haveli",79.476,185.61,19.312,0.279
"7","Daman & Diu",77.282,172.753,19.133,0.253
"8","Delhi",202.285,407.792,54.884,1
"9","Goa",64.858,101.396,13.543,0.091
"10","Gujarat",100.38,194.61,25.037,0.354
"11","Haryana",159.71,277.436,26.996,0.595
"12","Himachal Pradesh",83.296,197.297,13.119,0.275
"13","Jammu & Kashmir",118.571,197.154,12.597,0.331
"14","Jharkhand",159.518,273.016,43.538,0.663
"15","Karnataka",76.079,161.951,24.809,0.26
"16","Kerala",51.089,83.177,14.565,0.043
"17","Madhya Pradesh",103.58,198.249,16.006,0.324
"18","Maharashtra",96.006,201.532,29.358,0.377
"19","Manipur",74.44,184.29,19.846,0.27
"20","Meghalaya",89.25,79.121,12.651,0.093
"21","Mizoram",41.084,88.164,6.842,0
"22","Nagaland",80.192,135.441,10.364,0.157
"23","Odisha",86.144,172.94,16.747,0.257
"24","Puducherry",46.011,87.404,14.011,0.04
"25","Punjab",182.987,258.377,29.123,0.61
"26","Rajasthan",143.745,281.845,34.265,0.607
"27","Sikkim",32,75,26.8,0.057
"28","Tamil Nadu",66.008,133.05,19.949,0.174
"29","Uttar Pradesh",177.284,369.76,25.656,0.767
"30","Uttarakhand",149.892,306.33,27.393,0.63
"31","Uttaranchal",116.631,262.109,25.667,0.495
"32","West Bengal",118.328,235.895,57.431,0.595
